date,total_intake,avg_sip_size,n_sips,avg_temp,max_gap
2025-01-01,2678,191.28571428571428,14,19.092857142857145,2.22
2025-01-02,1888,188.8,10,19.44,3.22
2025-01-03,2105,191.36363636363637,11,18.40909090909091,7.95
2025-01-04,1819,181.9,10,19.34,3.65
2025-01-05,2553,182.35714285714286,14,20.142857142857142,3.98
2025-01-06,899,128.42857142857142,7,19.52857142857143,5.15
2025-01-07,2852,178.25,16,19.65,4.22
2025-01-08,1749,194.33333333333334,9,20.27777777777778,2.82
2025-01-09,584,116.8,5,18.32,7.57
2025-01-10,1814,151.16666666666666,12,18.875,2.77
2025-01-11,1492,186.5,8,19.1875,5.55
2025-01-12,1730,192.22222222222223,9,20.200000000000003,3.12
2025-01-13,2884,180.25,16,19.61875,2.72
2025-01-14,1613,201.625,8,19.7,4.92
2025-01-15,2326,178.92307692307693,13,19.015384615384615,5.55
2025-01-16,2837,189.13333333333333,15,20.333333333333332,4.85
2025-01-17,1621,202.625,8,19.2625,3.67
2025-01-18,1894,157.83333333333334,12,19.316666666666666,3.58
2025-01-19,2352,180.92307692307693,13,19.615384615384617,3.85
2025-01-20,2848,167.52941176470588,17,20.029411764705884,2.98
2025-01-21,1476,184.5,8,19.375,5.8
2025-01-22,1998,181.63636363636363,11,19.599999999999998,3.88
2025-01-23,1683,187.0,9,19.48888888888889,4.57
2025-01-24,1859,185.9,10,20.14,4.93
2025-01-25,1688,211.0,8,20.1625,4.25
2025-01-26,1602,200.25,8,20.3125,3.28
2025-01-27,841,120.14285714285714,7,19.32857142857143,7.77
2025-01-28,2150,179.16666666666666,12,20.958333333333332,2.88
2025-01-29,1715,214.375,8,20.1875,4.43
2025-01-30,2703,180.2,15,20.02,2.9
2025-01-31,1716,190.66666666666666,9,20.700000000000003,3.9
2025-02-01,1661,184.55555555555554,9,20.055555555555557,2.75
2025-02-02,861,123.0,7,20.157142857142855,6.1
2025-02-03,2098,190.72727272727272,11,20.69090909090909,3.43
2025-02-04,1792,179.2,10,21.25,3.58
2025-02-05,2599,173.26666666666668,15,22.09333333333333,2.92
2025-02-06,2377,182.84615384615384,13,19.546153846153846,6.92
2025-02-07,717,119.5,6,20.45,4.18
2025-02-08,2656,177.06666666666666,15,21.720000000000002,3.57
2025-02-09,1965,178.63636363636363,11,21.29090909090909,3.0
2025-02-10,2437,187.46153846153845,13,21.415384615384614,4.5
2025-02-11,1889,209.88888888888889,9,21.844444444444445,2.78
2025-02-12,2751,183.4,15,21.206666666666667,2.63
2025-02-13,2503,192.53846153846155,13,21.73076923076923,4.07
2025-02-14,2018,183.45454545454547,11,22.42727272727273,3.22
2025-02-15,942,134.57142857142858,7,23.342857142857145,6.85
2025-02-16,2373,169.5,14,21.985714285714288,3.33
2025-02-17,2339,179.92307692307693,13,22.4,2.95
2025-02-18,1959,178.0909090909091,11,22.163636363636364,3.23
2025-02-19,2622,187.28571428571428,14,23.17142857142857,2.58
2025-02-20,2822,166.0,17,22.41176470588235,2.33
2025-02-21,2152,179.33333333333334,12,22.991666666666664,3.42
2025-02-22,2232,202.9090909090909,11,22.2,3.33
2025-02-23,2293,191.08333333333334,12,22.425,4.43
2025-02-24,2132,193.8181818181818,11,22.28181818181818,3.97
2025-02-25,2635,188.21428571428572,14,22.099999999999998,4.78
2025-02-26,2396,184.30769230769232,13,23.307692307692307,3.47
2025-02-27,1718,190.88888888888889,9,22.48888888888889,4.7
2025-02-28,1736,192.88888888888889,9,23.766666666666666,6.68
2025-03-01,2666,177.73333333333332,15,23.073333333333334,3.45
